"id";"categoria";"subtema";"perfil_usuario";"pergunta";"resposta";"canal_sugerido";"prioridade"
"FAQ-0001";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"beneficiario de gratuidade";"Por que meu cartao Riocard foi bloqueado? Sou beneficiario de gratuidade e o caso envolve cartao bloqueado sem aviso. Estou tentando entender antes de usar novamente.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0002";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"trabalhador que usa integracao";"Meu cartao parou de funcionar do nada. O que aconteceu? Sou trabalhador que usa integracao e o caso envolve cartao bloqueado sem aviso. Nao sei se foi erro ou fraude.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0003";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"titular com deslocamento recorrente";"Recebi informacao de bloqueio preventivo. Como devo proceder? Sou titular com deslocamento recorrente e o caso envolve cartao bloqueado sem aviso. Quero uma orientacao clara para nao perder o beneficio.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0004";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"beneficiario de gratuidade";"O sistema bloqueou meu cartao por seguranca. O que significa? Sou beneficiario de gratuidade e o caso envolve cartao bloqueado sem aviso. Estou tentando entender antes de usar novamente.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0005";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"trabalhador que usa integracao";"Meu cartao estava normal e agora aparece como bloqueado. Qual pode ser o motivo? Sou trabalhador que usa integracao e o caso envolve cartao bloqueado sem aviso. Nao sei se foi erro ou fraude.";"Se houver uso em local ou horario incomum, o sistema pode interromper o uso preventivamente. O proximo passo e abrir uma solicitacao para verificacao. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0006";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"titular com deslocamento recorrente";"Como confirmar se o bloqueio foi realmente preventivo? Sou titular com deslocamento recorrente e o caso envolve cartao bloqueado sem aviso. Quero uma orientacao clara para nao perder o beneficio.";"A orientacao e consultar o historico recente de uso, confirmar se houve tentativa por terceiros e seguir com a analise pelos canais oficiais. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0007";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"beneficiario de gratuidade";"O bloqueio preventivo acontece por quanto tempo? Sou beneficiario de gratuidade e o caso envolve cartao bloqueado sem aviso. Estou tentando entender antes de usar novamente.";"O bloqueio preventivo e acionado quando o sistema identifica uso fora do padrao esperado do titular. Confirme seus dados e solicite analise do caso no canal indicado. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
"FAQ-0008";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"trabalhador que usa integracao";"Consigo usar o cartao enquanto a analise esta em andamento? Sou trabalhador que usa integracao e o caso envolve cartao bloqueado sem aviso. Nao sei se foi erro ou fraude.";"Quando o cartao apresenta comportamento atipico, ele pode ser bloqueado para evitar uso indevido. O ideal e consultar o status e pedir revisao imediatamente. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar app e confirmar o historico recente do cartao antes de tentar novo uso.";"App";"Alta"
"FAQ-0009";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"titular com deslocamento recorrente";"Quais documentos podem ser pedidos para desbloquear o cartao? Sou titular com deslocamento recorrente e o caso envolve cartao bloqueado sem aviso. Quero uma orientacao clara para nao perder o beneficio.";"Se o bloqueio foi gerado por seguranca, a recomendacao e validar titularidade e aguardar a revisao do atendimento. Em geral o cartao permanece bloqueado ate a conclusao da analise. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar atendimento presencial e confirmar o historico recente do cartao antes de tentar novo uso.";"Atendimento presencial";"Alta"
"FAQ-0010";"Bloqueio Preventivo";"cartao bloqueado sem aviso";"beneficiario de gratuidade";"Como saber se o bloqueio foi por suspeita de fraude? Sou beneficiario de gratuidade e o caso envolve cartao bloqueado sem aviso. Estou tentando entender antes de usar novamente.";"Esse tipo de bloqueio busca proteger o usuario contra movimentacoes suspeitas. Depois da confirmacao dos dados, a equipe informa se o cartao sera desbloqueado ou substituido. Para esse tipo de situacao (cartao bloqueado sem aviso), a orientacao mais segura e consultar central e confirmar o historico recente do cartao antes de tentar novo uso.";"Central";"Alta"
